Sort By,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sort By,RPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smaller = Better?,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tier,RSC ID,Name,Team,Conference,SBV,IDR,RPV,GP,W,L,Win%,MVPs,Pts,Goals,Assists,Saves,Shots,Shot %,PPG,GPG,APG,SvPG,ShPG,Cycles,Hat Tricks,Playmakers,Saviors,DI,DT
Amateur,RSC007179,B0A._.,Aeon Ale,N/A,88.6,84.9,86.7,8,5,3,0.625,4,3187,11,7,7,17,64.71%,398.38,1.38,0.88,0.88,2.13,3,2,0,0,10,9
Amateur,RSC008012,mushxie,Amaranth,N/A,95.4,71.6,83.5,19,12,7,0.632,7,6208,12,19,14,39,30.77%,326.74,0.63,1.00,0.74,2.05,3,0,1,1,21,9
Amateur,RSC007464,MoonKnight2,Hyenas,N/A,81.2,85.5,83.3,31,23,8,0.742,8,11395,37,18,31,88,42.05%,367.58,1.19,0.58,1.00,2.84,8,3,0,2,10,10
Amateur,RSC007899,SeaSpay12,Surprise,N/A,82.4,79.3,80.8,23,13,10,0.565,8,9260,26,9,26,62,41.94%,402.61,1.13,0.39,1.13,2.70,2,3,0,2,27,17
Amateur,RSC007571,StephMoney2,Garlic Knots,N/A,76.1,75.0,75.6,32,23,9,0.719,9,11443,29,20,35,70,41.43%,357.59,0.91,0.63,1.09,2.19,9,2,0,3,24,23
Amateur,RSC007463,xproteusx05,Surprise,N/A,68.4,79.1,73.8,19,13,6,0.684,4,6296,24,9,13,48,50.00%,331.37,1.26,0.47,0.68,2.53,2,4,0,0,9,17
Amateur,RSC006256,CascaUnbroken,Aeon Ale,N/A,69.3,70.6,70.0,31,16,15,0.516,7,10766,33,14,24,81,40.74%,347.29,1.06,0.45,0.77,2.61,6,4,1,0,33,25
Amateur,RSC006375,Rich-Rollin6060,Hyenas,N/A,59.2,78.0,68.6,24,21,3,0.875,7,7789,31,10,12,60,51.67%,324.54,1.29,0.42,0.50,2.50,3,3,0,0,31,15
Amateur,RSC007955,JonathanVanDyk,Garlic Knots,N/A,68.0,67.2,67.6,32,23,9,0.719,9,11300,30,13,43,65,46.15%,353.13,0.94,0.41,1.34,2.03,1,2,0,4,10,19
Amateur,RSC007808,Navybrat44,Amaranth,N/A,63.0,69.1,66.1,19,9,10,0.474,6,6379,18,7,19,49,36.73%,335.74,0.95,0.37,1.00,2.58,4,1,0,0,15,13
Amateur,RSC007581,Wrecklessjay02,Hyenas,N/A,60.5,67.7,64.1,32,24,8,0.750,,9966,27,19,27,67,40.30%,311.44,0.84,0.59,0.84,2.09,5,1,0,1,19,12
Amateur,RSC007216,ASAPxLEG,Aeon Ale,N/A,60.2,61.3,60.7,24,13,11,0.542,3,7374,22,13,20,46,47.83%,307.25,0.92,0.54,0.83,1.92,2,3,0,1,7,19
Amateur,RSC007468,im_link42,Amaranth,N/A,58.6,61.5,60.1,30,17,13,0.567,3,9141,26,15,23,70,37.14%,304.70,0.87,0.50,0.77,2.33,3,1,0,1,20,22
Amateur,RSC005925,Emily26210,Kiwis,N/A,57.7,59.8,58.7,23,7,16,0.304,2,7497,21,10,24,62,33.87%,325.96,0.91,0.43,1.04,2.70,3,1,0,4,25,24
Amateur,RSC007852,Medicmac121,"Aloof Goofs
Aeon Ale",N/A,55.4,61.1,58.2,6,2,4,0.333,1,1513,3,4,4,10,30.00%,252.17,0.50,0.67,0.67,1.67,1,0,0,0,3,5
Amateur,RSC007306,SAMCRO-8640,Aloof Goofs,N/A,47.6,66.9,57.2,8,5,3,0.625,2,2668,13,2,4,16,81.25%,333.50,1.63,0.25,0.50,2.00,1,2,0,0,2,5
Amateur,RSC007220,maxf,Garlic Knots,N/A,51.8,61.1,56.4,27,20,7,0.741,5,7379,22,15,25,44,50.00%,273.30,0.81,0.56,0.93,1.63,6,0,2,1,9,22
Amateur,RSC007621,Classy-God57,Winter Fresh,N/A,46.9,50.6,48.7,27,8,19,0.296,3,8548,22,11,23,56,39.29%,316.59,0.81,0.41,0.85,2.07,3,2,0,1,16,17
Amateur,RSC006797,The-Manimal,Aloof Goofs,N/A,44.6,50.7,47.7,21,6,15,0.286,2,5807,12,7,19,45,26.67%,276.52,0.57,0.33,0.90,2.14,3,0,0,1,4,20
Amateur,RSC007921,sXCyBeast,Surprise,N/A,45.2,48.8,47.0,19,9,10,0.474,0,4349,9,14,9,29,31.03%,228.89,0.47,0.74,0.47,1.53,2,0,1,0,10,13
Amateur,RSC007948,MasterOfDaTurtle,"Kiwis
Amaranth",N/A,44.4,49.2,46.8,11,3,8,0.273,1,2918,8,6,3,23,34.78%,265.27,0.73,0.55,0.27,2.09,2,1,0,0,4,9
Amateur,RSC000654,Rocci,"Aeon Ale
Amaranth",N/A,45.1,46.7,45.9,16,8,8,0.500,1,3978,8,9,16,22,36.36%,248.63,0.50,0.56,1.00,1.38,1,1,0,1,21,12
Amateur,RSC004190,demonikgoat4061,Aloof Goofs,N/A,39.4,44.3,41.8,31,10,21,0.323,5,8764,22,10,26,53,41.51%,282.71,0.71,0.32,0.84,1.71,3,1,0,1,44,18
Amateur,RSC007161,MrAnderpants,Aloof Goofs,N/A,40.2,39.6,39.9,30,8,22,0.267,1,8085,14,9,23,64,21.88%,269.50,0.47,0.30,0.77,2.13,3,0,1,2,35,21
Amateur,RSC007632,yournewSTEPDADDI,Kiwis,N/A,37.5,40.9,39.2,21,7,14,0.333,4,6453,15,6,21,39,38.46%,307.29,0.71,0.29,1.00,1.86,1,0,0,3,11,11
Amateur,RSC006147,Stolris,Hyenas,N/A,21.8,46.1,34.0,3,1,2,0.333,0,594,2,1,1,7,28.57%,198.00,0.67,0.33,0.33,2.33,0,0,0,0,3,2
Amateur,RSC007875,Flying__ferret,Winter Fresh,N/A,32.5,33.5,33.0,27,8,19,0.296,4,6801,12,11,27,47,25.53%,251.89,0.44,0.41,1.00,1.74,1,0,0,2,16,22
Amateur,RSC006137,FULLBL00DN8V,Winter Fresh,N/A,20.3,29.5,24.9,27,8,19,0.296,1,5949,15,8,20,44,34.09%,220.33,0.56,0.30,0.74,1.63,1,0,0,0,14,20
Amateur,RSC007573,zag_42,Amaranth,N/A,16.5,32.0,24.2,25,12,13,0.480,1,5339,15,6,14,34,44.12%,213.56,0.60,0.24,0.56,1.36,2,0,0,0,6,14
Amateur,RSC000146,EtherealDoom989,Surprise,N/A,12.1,28.5,20.3,17,7,10,0.412,2,3090,8,4,2,21,38.10%,181.76,0.47,0.24,0.12,1.24,0,0,0,0,5,10
Amateur,RSC006022,N0MrThomasMn,"Aloof Goofs
Surprise",N/A,24.2,15.3,19.7,4,0,4,0.000,0,932,3,1,2,5,60.00%,233.00,0.75,0.25,0.50,1.25,0,0,0,0,6,4
