Sort By,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sort By,RPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smaller = Better?,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tier,RSC ID,Name,Team,Conference,SBV,IDR,RPV,GP,W,L,Win%,MVPs,Pts,Goals,Assists,Saves,Shots,Shot %,PPG,GPG,APG,SvPG,ShPG,Cycles,Hat Tricks,Playmakers,Saviors,DI,DT
Amateur,RSC007179,B0A._.,Aeon Ale,N/A,92.0,91.2,91.6,8,5,3,0.625,4,3187,11,7,7,17,64.71%,398.38,1.38,0.88,0.88,2.13,3,2,0,0,10,9
Amateur,RSC007464,MoonKnight2,Hyenas,N/A,82.4,89.7,86.0,39,29,10,0.744,10,14726,46,24,44,116,39.66%,377.59,1.18,0.62,1.13,2.97,10,4,0,4,12,18
Amateur,RSC007899,SeaSpay12,Surprise,N/A,82.9,76.6,79.7,34,19,15,0.559,11,13404,33,16,42,93,35.48%,394.24,0.97,0.47,1.24,2.74,4,3,0,4,39,29
Amateur,RSC008012,mushxie,Amaranth,N/A,81.5,71.5,76.5,27,17,10,0.630,8,8729,17,23,22,62,27.42%,323.30,0.63,0.85,0.81,2.30,3,0,1,2,28,15
Amateur,RSC006375,Rich-Rollin6060,Hyenas,N/A,60.0,83.6,71.8,32,27,5,0.844,10,10563,42,16,15,84,50.00%,330.09,1.31,0.50,0.47,2.63,3,5,1,0,39,19
Amateur,RSC007571,StephMoney2,Garlic Knots,N/A,68.9,71.0,70.0,40,29,11,0.725,12,13911,38,22,43,90,42.22%,347.78,0.95,0.55,1.08,2.25,11,2,0,3,29,32
Amateur,RSC007955,JonathanVanDyk,Garlic Knots,N/A,67.2,69.0,68.1,40,29,11,0.725,11,14107,39,18,49,92,42.39%,352.68,0.98,0.45,1.23,2.30,2,2,0,4,18,21
Amateur,RSC007581,Wrecklessjay02,Hyenas,N/A,62.0,72.5,67.3,40,30,10,0.750,,12678,35,25,34,90,38.89%,316.95,0.88,0.63,0.85,2.25,7,1,0,2,23,21
Amateur,RSC006256,CascaUnbroken,Aeon Ale,N/A,64.9,68.4,66.6,39,19,20,0.487,9,13324,41,15,35,96,42.71%,341.64,1.05,0.38,0.90,2.46,7,4,1,1,44,32
Amateur,RSC007621,Classy-God57,Winter Fresh,N/A,65.4,67.1,66.2,35,15,20,0.429,8,12761,36,17,33,91,39.56%,364.60,1.03,0.49,0.94,2.60,5,3,0,1,20,26
